grade,similarity_percentage,gene_code,virus_name,gene_name,host_name,virus_lineage,host_lineage
-11.0,0.21052631578947367,AHY84302.1,Mycobacterium phage KingVeVeVe,minor tail protein,Mycolicibacterium smegmatis MC2 155,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Bclasvirinae; Pg1virus; Mycobacterium virus Soto",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
-11.0,0.1566265060240964,YP_009202109.1,Escherichia phage slur09,hypothetical protein,Escherichia,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; T5virus; Escherichia virus slur09",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-34.0,0.16574585635359115,YP_009147971.1,Salmonella phage STML-198,long tail fiber proximal subunit,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; S16virus; Salmonella virus STML198",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-38.0,0.19428571428571428,YP_009276008.1,Pseudomonas phage vB_PsyM_KIL1,putative tail fiber protein,Pseudomonas,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
-71.0,0.0975609756097561,YP_009323348.1,Escherichia phage WG01,chaperone for tail fiber formation,Escherichia,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Js98virus; unclassified Js98virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-34.0,0.15853658536585366,YP_003969939.1,Cafeteria roenbergensis virus BV-PW1,hypothetical protein,Cafeteria roenbergensis,"Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Cafeteriavirus; Cafeteria roenbergensis virus",Eukaryota; Bicosoecida; Cafeteriaceae; Cafeteria
-23.0,0.16363636363636364,YP_009008711.1,Escherichia phage KBNP1711,putative tail fiber protein,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Phieco32virus; Escherichia virus Septima11",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-2.0,0.16853932584269662,YP_009056550.1,Escherichia phage vB_EcoS_AHP42,tail fiber,Escherichia,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Tunavirinae; Rogue1virus; Escherichia virus AHP42",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-25.0,0.1781609195402299,YP_009191633.1,Salmonella phage SEN34,tail fiber protein,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-33.0,0.19662921348314608,YP_009480852.1,Pandoravirus macleodensis,hypothetical protein,Acanthamoeba sp.,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; Pandoravirus",Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba
-37.0,0.19680851063829788,YP_009194510.1,Klebsiella phage Matisse,long tail fiber proximal subunit,Klebsiella pneumoniae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Kp15virus; Klebsiella virus Matisse",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
-11.0,0.1912568306010929,YP_008858916.1,Xylella phage Paz,tail fiber protein,Xylella fastidiosa,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Pradovirus; unclassified Pradovirus",Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xylella
-42.0,0.18232044198895028,YP_009148843.1,Salmonella phage SSE121,tail fiber protein,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Vequintavirinae; Se1virus; Salmonella virus SSE121",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-54.0,0.15757575757575756,YP_009221000.1,Salmonella phage 38,tail fiber,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Ackermannviridae; Cvivirinae; Cba120virus; unclassified Cba120virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-34.0,0.17415730337078653,YP_007004202.1,Enterobacteria phage Bp7,long tail fiber proximal subunit,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Js98virus; Escherichia virus Bp7",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
3.0,0.17682926829268292,YP_007006603.1,Escherichia phage phiKT,hypothetical protein,Escherichia sp.,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unclassified Autographivirinae",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-12.0,0.18562874251497005,YP_009134736.1,Trematomus pennellii polyomavirus 1,VP2,Trematomus pennellii,"Viruses; dsDNA viruses, no RNA stage; Polyomaviridae; unassigned Polyomaviridae",Eukaryota; Metazoa; Chordata; Craniata; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Perciformes; Notothenioidei; Nototheniidae; Trematomus
-20.0,0.20606060606060606,YP_009008887.1,Shewanella phage Spp001,tail fiber repeat family protein,Shewanella putrefaciens,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
-12.0,0.15976331360946747,YP_007111724.1,Enterobacteria phage HK140,central tail fiber,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Hk97virus; unclassified Hk97virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-32.0,0.1569767441860465,YP_009013323.1,Pseudomonas virus PA1KOR,hypothetical protein,Pseudomonas aeruginosa,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; D3112virus",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group
-35.0,0.1696969696969697,YP_004306774.1,Pseudomonas phage KPP10,structural protein; putative tail fiber protein,Pseudomonas,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Kpp10virus; Pseudomonas virus KPP10",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
-37.0,0.13690476190476192,YP_009126187.1,Salmonella phage STP4-a,long tail fiber proximal subunit,Salmonella enterica subsp. enterica serovar Typhimurium,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; S16virus; unclassified S16virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica
-39.0,0.19653179190751446,YP_003734319.1,Enterobacteria phage IME08,tail fiber-like protein,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Js98virus; Escherichia virus IME08",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-25.0,0.20359281437125748,YP_009301533.1,Cyanophage S-RIM32,putative short tail fiber,Synechococcus sp.,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus
-17.0,0.21390374331550802,YP_009125868.1,Mycobacterium phage Cerasum,tapemeasure,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Che8virus; unclassified Che8virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-13.0,0.21052631578947367,AIM50265.1,Mycobacterium phage Vivaldi,minor tail subunit,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Bclasvirinae; Pg1virus; Mycobacterium virus Soto",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-20.0,0.20118343195266272,YP_009005438.1,Enterobacter phage PG7,base plate wedge completion tail fiber socket,Enterobacter cloacae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Cc31virus; Enterobacter virus PG7",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex
-86.0,0.11585365853658537,YP_009216606.1,Enterococcus phage vB_EfaS_IME196,tail fiber protein,Enterococcus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae
-12.0,0.1746987951807229,YP_803183.1,Escherichia virus RB32,tail fiber hinge,Escherichia,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-35.0,0.1744186046511628,YP_006987671.1,Cronobacter phage vB_CsaP_GAP52,hypothetical protein,Cronobacter sakazakii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; unclassified Podoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter
-51.0,0.1676300578034682,YP_009199416.1,Escherichia phage SUSP1,putative tail fiber protein,Escherichia,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ounavirinae; Suspvirus; Escherichia virus SUSP1",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-35.0,0.1781609195402299,YP_009321017.1,Synechococcus phage S-CAM22,tail fiber protein,Synechococcus sp.,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus
-36.0,0.19883040935672514,AGH56629.1,Cyanophage Syn10,hypothetical protein,Synechococcus sp. WH 8017,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus
-35.0,0.1631578947368421,YP_009198890.1,Mycobacterium phage OSmaximus,minor tail protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Bclasvirinae; Pg1virus; Mycobacterium virus Osmaximus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-11.0,0.18235294117647058,YP_009281494.1,Escherichia phage UFV-AREG1,putative short tail fiber,Escherichia coli O157,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-22.0,0.2235294117647059,YP_009361944.1,Ateline alphaherpesvirus 1,envelope glycoprotein J,Ateles,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Simplexvirus",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae
-12.0,0.208955223880597,YP_009283774.1,Salmonella phage GG32,tail fibers protein,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Ackermannviridae; Cvivirinae; Cba120virus; unclassified Cba120virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-17.0,0.22941176470588234,YP_009193801.1,Pseudomonas phage DL60,tail fiber protein,Pseudomonas aeruginosa PAO1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Pbunavirus; Pseudomonas virus DL60",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group
-6.0,0.21465968586387435,AIQ80654.1,Bovine herpesvirus type 1.2 strain K22,transcriptional regulator ICP4,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus; Bovine alphaherpesvirus 1; Bovine herpesvirus type 1.2",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-19.0,0.2,YP_009012587.1,Rhodococcus phage ReqiPoco6,tail fiber protein,Rhodococcus hoagii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pepy6virus; Rhodococcus virus Poco6",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus
-2.0,0.19393939393939394,YP_009017012.1,Mycobacterium phage Charlie,gp16,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Nclasvirinae; Charlievirus; Mycobacterium virus Charlie",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-10.0,0.18848167539267016,YP_009322942.1,Synechococcus phage S-CAM7,hypothetical protein,Synechococcus sp.,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus
-6.0,0.18562874251497005,YP_009018263.1,Mycobacterium virus Billknuckles,hypothetical protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; L5virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
22.0,0.2057142857142857,YP_009211602.1,Pectobacterium bacteriophage PM2,short tail fiber protein,Pectobacterium,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae
-13.0,0.1746031746031746,YP_007392843.1,Klebsiella phage JD001,hypothetical protein,Klebsiella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Msw3virus; unclassified Msw3virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-36.0,0.1658291457286432,YP_007010546.1,Salinivibrio phage CW02,putative tail fiber,Salinivibrio costicola,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; unclassified Podoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Salinivibrio
-11.0,0.19393939393939394,YP_009218895.1,Enterococcus phage vB_EfaS_IME198,tail fibers protein,Enterococcus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Sap6virus; unclassified Sap6virus",Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae
-48.0,0.15168539325842698,YP_009193795.1,Pseudomonas phage DL60,tail fiber protein,Pseudomonas aeruginosa PAO1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Pbunavirus; Pseudomonas virus DL60",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group
-18.0,0.2,YP_009189990.1,Mycobacterium phage Pops,hypothetical protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Bclasvirinae; Pg1virus; Mycobacterium virus Suffolk",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-12.0,0.2185792349726776,AJA43142.1,Mycobacterium phage FluffyNinja,minor tail protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Bclasvirinae; Pg1virus; Mycobacterium virus Soto",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
0.0,0.2023121387283237,YP_009205853.1,Enterobacteria phage vB_EcoM_VR5,short tail fibers protein,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Js98virus; Escherichia virus VR5",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-50.0,0.18181818181818182,YP_003097365.1,Synechococcus phage S-RSM4,hypothetical protein,Synechococcus sp. WH 7803,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus
-19.0,0.1853932584269663,YP_006986539.1,Cronobacter phage vB_CsaM_GAP161,distal long tail fiber assembly catalyst,Cronobacter sakazakii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Kp15virus; unclassified Kp15virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter
-23.0,0.21081081081081082,YP_009119509.1,Pandoravirus inopinatum,serine/threonine kinase motif-containing protein,Acanthamoeba sp.,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; Pandoravirus",Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba
-12.0,0.1746987951807229,AIT73523.1,Enterobacteria phage RB6,"hinge connector of long tail fiber, proximal",Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; Escherichia virus RB3",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-22.0,0.15757575757575756,AFA45064.1,Mycobacterium phage Spartacus,hypothetical protein,Mycolicibacterium smegmatis MC2 155,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Che8virus; Mycobacterium virus Spartacus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
0.0,0.2023121387283237,YP_009202892.1,Escherichia phage QL01,short tail fibers protein,Escherichia,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Js98virus; Escherichia virus QL01",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-20.0,0.16292134831460675,YP_006299885.1,Pseudomonas phage vB_Pae-Kakheti25,tape measure protein,Pseudomonas aeruginosa,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Septima3virus; Pseudomonas virus Kakheti25",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group
0.0,0.19428571428571428,YP_009281622.1,Gordonia phage Remus,hypothetical protein,Gordonia terrae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Soupsvirus; unclassified Soupsvirus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia
-33.0,0.15469613259668508,YP_009197537.1,Lactobacillus phage iLp84,tail fiber protein,Lactobacillus paracasei,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus casei group
-23.0,0.17553191489361702,YP_007236482.1,Pseudomonas phage PaP1,putative tail fiber protein,Pseudomonas aeruginosa PA1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Pakpunavirus; Pseudomonas virus PaP1",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group
-31.0,0.21714285714285714,YP_008409128.1,Mycobacterium phage Hamulus,DNA repair domain,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Che8virus; unclassified Che8virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-44.0,0.13414634146341464,YP_004010006.1,Enterobacter phage CC31,gp57A chaperone for tail fiber formation,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Cc31virus; Escherichia virus CC31",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-29.0,0.16022099447513813,YP_009483573.1,Pandoravirus quercus,fascin-like domain protein,Acanthamoeba sp.,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; Pandoravirus",Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba
-46.0,0.1746987951807229,YP_009211929.1,Escherichia phage pro483,tail fiber assembly protein,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Peduovirinae; P2virus; unclassified P2virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-36.0,0.17370892018779344,AGC35502.1,Yersinia phage Y,tail fiber protein,Yersinia pestis,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus; unclassified T7virus; Yersinia phage phiA1122",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex
310.0,0.41818181818181815,YP_008239575.1,Salmonella phage FSL SP-004,phage tail fiber protein,Salmonella enterica subsp. enterica serovar Newport,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Peduovirinae; P2virus; unclassified P2virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica
-11.0,0.21761658031088082,YP_009168067.1,Escherichia phage AR1,"hinge connector of long tail fiber, proximal connector",Escherichia coli O157:H7,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; Escherichia virus AR1",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-31.0,0.21714285714285714,YP_009211228.1,Mycobacterium phage Ovechkin,hypothetical protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Che8virus; unclassified Che8virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-9.0,0.1989795918367347,AIQ80667.1,Bovine herpesvirus type 1.2 strain B589,envelope protein UL43,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus; Bovine alphaherpesvirus 1; Bovine herpesvirus type 1.2",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-15.0,0.1896551724137931,YP_009119018.1,Pandoravirus inopinatum,hypothetical protein,Acanthamoeba sp.,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; Pandoravirus",Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba
-6.0,0.20606060606060606,YP_009126354.1,Salmonella phage STP4-a,short tail fiber,Salmonella enterica subsp. enterica serovar Typhimurium,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; S16virus; unclassified S16virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica
-25.0,0.17575757575757575,AIX15726.1,Synechococcus phage ACG-2014a,putative short tail fiber,Synechococcus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae
-27.0,0.1774193548387097,AFN37724.1,Mycobacterium virus Macncheese,minor tail protein,Mycolicibacterium smegmatis MC2 155,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Tm4virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
-34.0,0.19161676646706588,YP_009203897.1,Citrobacter phage Merlin,short tail fibers,Citrobacter freundii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Moonvirus; Citrobacter virus Merlin",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex
-14.0,0.17,YP_009280164.1,Salmonella phage MA12,tail fibers protein,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Guernseyvirinae; Jerseyvirus; unclassified Jerseyvirus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-35.0,0.18,YP_009220197.1,Synechococcus phage S-CBP42,tail fiber,Synechococcus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unclassified Autographivirinae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae
-22.0,0.19879518072289157,NP_958041.1,Bovine papular stomatitis virus,hypothetical protein,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; Parapoxvirus",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-17.0,0.1793478260869565,YP_009220799.1,Salmonella phage 38,tail fibers protein,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Ackermannviridae; Cvivirinae; Cba120virus; unclassified Cba120virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-1.0,0.20398009950248755,YP_009205944.1,Enterobacteria phage vB_EcoM_VR5,long tail fiber distal subunit,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Js98virus; Escherichia virus VR5",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-39.0,0.15853658536585366,YP_009216961.1,Enterobacteria phage JenP2,tail fiber protein,Enterobacterales,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Nonagvirus; Escherichia virus JenP2",Bacteria; Proteobacteria; Gammaproteobacteria
-5.0,0.18562874251497005,AGU92345.1,Mycobacterium phage SargentShorty9,structural protein,Mycolicibacterium smegmatis MC2 155,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; L5virus; unclassified L5virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
-26.0,0.20606060606060606,ACI06294.1,Mycobacterium phage Butterscotch,hypothetical protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pbi1virus; Mycobacterium virus PBI1",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-11.0,0.20114942528735633,YP_009188187.1,Cyanophage P-TIM40,hypothetical protein,Prochlorococcus marinus str. NATL2A,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Cyanobacteria; Synechococcales; Prochloraceae; Prochlorococcus
-9.0,0.1989795918367347,AIQ80807.1,Bovine herpesvirus type 1.2 strain SP1777,envelope protein UL43,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus; Bovine alphaherpesvirus 1; Bovine herpesvirus type 1.2",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-31.0,0.17318435754189945,YP_008770523.1,Bacillus phage Page,tail fiber,Bacillus megaterium,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Pagevirus; Bacillus virus Page",Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
